epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7836.76,0.57778,0.53048,1.13573,0.94289,0.86035,0.92751,0.76814,0.68181,0.51724,1.13984,0.000700378,0.000700378,0.000700378
43,7972.91,0.56723,0.50642,1.12563,0.92456,0.8827,0.92313,0.77304,0.68207,0.52067,1.13925,0.000676802,0.000676802,0.000676802
44,8111.22,0.57152,0.50939,1.1407,0.92789,0.87221,0.92471,0.76007,0.67561,0.53462,1.12737,0.000653226,0.000653226,0.000653226
45,8246.61,0.55584,0.49783,1.11986,0.9183,0.89653,0.92512,0.77772,0.68122,0.51599,1.13249,0.00062965,0.00062965,0.00062965
46,8389.28,0.55445,0.48234,1.11801,0.90543,0.88776,0.93215,0.77619,0.66141,0.53379,1.1116,0.000606074,0.000606074,0.000606074
47,8528.03,0.55776,0.49903,1.12988,0.88781,0.90367,0.92913,0.77267,0.66218,0.54396,1.11955,0.000582497,0.000582497,0.000582497
48,8664.46,0.54651,0.47147,1.11422,0.89759,0.8796,0.92459,0.76497,0.68856,0.58036,1.14324,0.000558921,0.000558921,0.000558921
49,8799.38,0.53808,0.47333,1.11494,0.90758,0.89445,0.92733,0.78008,0.67099,0.51928,1.12994,0.000535345,0.000535345,0.000535345
50,8943.51,0.53798,0.45808,1.10752,0.90391,0.89737,0.92795,0.77327,0.66785,0.51512,1.12533,0.000511769,0.000511769,0.000511769
51,9078.17,0.52605,0.46911,1.10748,0.92066,0.9014,0.92638,0.77831,0.66625,0.52369,1.12725,0.000488193,0.000488193,0.000488193
52,9215.4,0.53634,0.45668,1.1081,0.90363,0.87905,0.92726,0.77436,0.65615,0.52481,1.13078,0.000464617,0.000464617,0.000464617
53,9353.19,0.53409,0.44101,1.10723,0.90865,0.90111,0.92329,0.7697,0.68654,0.51435,1.13967,0.000441041,0.000441041,0.000441041
54,9487.45,0.5223,0.44202,1.09821,0.91651,0.90614,0.92998,0.78078,0.65977,0.51095,1.12195,0.000417464,0.000417464,0.000417464
55,9633.5,0.52022,0.43546,1.10345,0.92812,0.86907,0.92387,0.78336,0.64971,0.50743,1.12171,0.000393888,0.000393888,0.000393888
56,9774.33,0.51254,0.4288,1.08746,0.94043,0.90451,0.93411,0.79236,0.65866,0.48807,1.12969,0.000370312,0.000370312,0.000370312
57,9909.57,0.50976,0.4238,1.08865,0.92952,0.88921,0.93011,0.78686,0.63843,0.49322,1.11065,0.000346736,0.000346736,0.000346736
58,10047.7,0.50385,0.41383,1.08914,0.93006,0.88518,0.92663,0.7874,0.64635,0.47199,1.10786,0.00032316,0.00032316,0.00032316
59,10182.3,0.49805,0.41373,1.08273,0.93961,0.89272,0.92998,0.79167,0.65938,0.47221,1.11452,0.000299584,0.000299584,0.000299584
60,10319.1,0.50064,0.40179,1.083,0.92445,0.88543,0.93137,0.78605,0.66104,0.49555,1.11783,0.000276008,0.000276008,0.000276008
61,10455.8,0.46429,0.34306,1.09926,0.94491,0.88618,0.92897,0.79011,0.66729,0.47349,1.12709,0.000252431,0.000252431,0.000252431
62,10592.1,0.45224,0.32697,1.09553,0.95979,0.88296,0.9275,0.78998,0.65753,0.47838,1.11785,0.000228855,0.000228855,0.000228855
63,10725.7,0.44064,0.32015,1.08747,0.93513,0.90402,0.93525,0.79611,0.64939,0.47912,1.11093,0.000205279,0.000205279,0.000205279
64,10869.1,0.43486,0.30438,1.07484,0.95288,0.88997,0.93612,0.79695,0.66272,0.4752,1.12774,0.000181703,0.000181703,0.000181703
65,11013.3,0.44028,0.29814,1.07183,0.9518,0.89726,0.93494,0.79599,0.65465,0.47014,1.10748,0.000158127,0.000158127,0.000158127
66,11153.5,0.41762,0.27951,1.06139,0.95318,0.88177,0.93217,0.79925,0.65303,0.47225,1.10992,0.000134551,0.000134551,0.000134551
67,11295.5,0.41479,0.28543,1.05697,0.95907,0.89264,0.93497,0.80562,0.64778,0.46128,1.10151,0.000110975,0.000110975,0.000110975
68,11436.8,0.41215,0.28309,1.05737,0.94518,0.8966,0.93668,0.81124,0.62665,0.44663,1.08763,8.73984e-05,8.73984e-05,8.73984e-05
69,11573.5,0.40866,0.27168,1.05587,0.94572,0.9144,0.93867,0.81285,0.6219,0.44483,1.08151,6.38223e-05,6.38223e-05,6.38223e-05
70,11709.1,0.40322,0.28419,1.05399,0.94579,0.90796,0.93828,0.81004,0.62888,0.44287,1.08509,4.02461e-05,4.02461e-05,4.02461e-05
